Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12,Cluster 13,Cluster 14,Cluster 15,Cluster 16,Cluster 17,Cluster 18,Cluster 19,Cluster 20,Cluster 21,Cluster 22,Cluster 23,Cluster 24,Cluster 25,Cluster 26,Cluster 27,Cluster 28,Cluster 29,Cluster 30,Cluster 31,Cluster 32,Cluster 33,Cluster 34,Cluster 35,Cluster 36,Cluster 37,Cluster 38,Cluster 39,Cluster 40,Cluster 41,Cluster 42,Cluster 43,Cluster 44,Cluster 45,Cluster 46,Cluster 47,Cluster 48,Cluster 49,Cluster 50
,,,,,GTEX-1K2DA-1026-SM-CGQGF,,GTEX-PWO3-0011-R9A-SM-EVR2V,GTEX-1CB4G-0011-R7b-SM-9QEGP,,,,,,,,GTEX-11ZVC-0526-SM-5N9G1,,GTEX-15UF6-0226-SM-7KUF6,,GTEX-146FQ-1126-SM-5NQBM,GTEX-1CB4G-2126-SM-7IGQ8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,GTEX-YB5K-2026-SM-4VDT3,,GTEX-1NV5F-3226-SM-EXUSL,GTEX-N7MT-0011-R10A-SM-2I3E1,,,,,,,,GTEX-15ER7-0826-SM-6PALW,,GTEX-TSE9-0226-SM-3DB84,,GTEX-1GL5R-1726-SM-9KNUX,GTEX-UTHO-1026-SM-3GAF7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,GTEX-13NYS-0626-SM-5L3F1,,GTEX-R55E-0011-R9A-SM-2TC6C,GTEX-1F48J-2826-SM-7P8R4,,,,,,,,GTEX-1JMQL-1026-SM-CMKGV,,GTEX-13JUV-0626-SM-5J1MQ,,GTEX-1OKEX-1126-SM-DTXEB,GTEX-1JKYN-0726-SM-ARZMY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,GTEX-1HKZK-0726-SM-ACKW2,,GTEX-ZDXO-0011-R2b-SM-4WKFG,GTEX-11TTK-2926-SM-5PNYP,,,,,,,,GTEX-ZUA1-0726-SM-4YCD9,,GTEX-U8XE-0008-SM-4E3K4,,GTEX-1JMQK-1826-SM-CY8I1,GTEX-13QBU-2526-SM-5LU4X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,GTEX-11UD2-2526-SM-5CVNU,,GTEX-14LZ3-0011-R7a-SM-69LQN,GTEX-12WSM-0011-R3b-SM-5LZWI,,,,,,,,GTEX-12WSD-1226-SM-5HL9Q,,GTEX-ZYFC-0726-SM-5E448,,GTEX-1JMLX-2226-SM-CNPOY,GTEX-ZTSS-1026-SM-5985N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,GTEX-14BIL-0126-SM-5SI92,,GTEX-13CF2-0011-R1a-SM-5LZY1,GTEX-1IKJJ-0011-R7a-SM-ARZLH,,,,,,,,GTEX-1CB4I-1526-SM-7DHMY,,GTEX-1JMQJ-2426-SM-E9TIL,,GTEX-15SHV-0926-SM-6M46I,GTEX-1ICLY-0226-SM-ARL7R,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,GTEX-1F75I-2226-SM-7SB8U,,GTEX-1J1OQ-0011-R2b-SM-ARU88,GTEX-145LS-0011-R5a-SM-5SI65,,,,,,,,GTEX-Y3IK-0826-SM-51MT8,,GTEX-113JC-2226-SM-5EGJG,,GTEX-13OW6-1426-SM-5L3EU,GTEX-1H1ZS-0126-SM-9YFKQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,GTEX-11GSP-2326-SM-5HL63,,GTEX-13VXU-0011-R9b-SM-5SI73,GTEX-144GL-3026-SM-5Q5CW,,,,,,,,GTEX-14JG1-0826-SM-5ZZWR,,GTEX-Y3I4-2226-SM-4TT7O,,GTEX-13D11-0626-SM-5LZYY,GTEX-WFJO-1026-SM-3GIKL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,GTEX-1GMR3-1926-SM-9KNUZ,,GTEX-11UD1-0011-R2b-SM-5BC6O,GTEX-14LZ3-3026-SM-5ZZVU,,,,,,,,GTEX-14PK6-0826-SM-5ZZVO,,GTEX-O5YV-0008-SM-4E3HP,,GTEX-14BIM-2226-SM-5SI8Y,GTEX-13S7M-0226-SM-5S2UG,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,GTEX-13OW6-0426-SM-5L3HM,,GTEX-1GZ4I-0011-R3b-SM-9OSWP,GTEX-13O3Q-0011-R6a-SM-5KM2V,,,,,,,,GTEX-1HCU6-1026-SM-A9G25,,GTEX-12WSD-1326-SM-5GCNU,,GTEX-15UF6-2426-SM-7KUME,GTEX-139D8-1626-SM-5IJFZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,GTEX-XAJ8-0826-SM-47JY6,,GTEX-13OW6-0011-R1a-SM-5L3HQ,GTEX-11DZ1-0011-R6b-SM-DNZZG,,,,,,,,,,GTEX-1JMQK-0526-SM-CM2S4,,GTEX-UJHI-0926-SM-4IHKF,GTEX-13U4I-0226-SM-5SIB1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,GTEX-1JMPZ-0726-SM-CY8HZ,,GTEX-1GZ2Q-0011-R9a-SM-9WG7A,GTEX-1GTWX-0011-R5b-SM-CKZO6,,,,,,,,,,GTEX-S4UY-1426-SM-4AD6Y,,GTEX-ZP4G-0726-SM-4WWF2,GTEX-ZDTT-2126-SM-DKPOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,GTEX-1E1VI-0126-SM-7DHMZ,,GTEX-1CAMQ-0011-R9a-SM-9WG5Z,GTEX-13OW5-0011-R6b-SM-5O9BW,,,,,,,,,,GTEX-14753-2426-SM-5LU8U,,GTEX-1J8Q3-2126-SM-ARU8O,GTEX-14E1K-0926-SM-5S2U4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,GTEX-1ICLZ-0126-SM-CKZPO,,GTEX-14DAQ-0011-R4a-SM-5YYAI,GTEX-147GR-0011-R10b-SM-5S2UM,,,,,,,,,,GTEX-17F98-0008-SM-EAZBA,,GTEX-WFON-1326-SM-4LVMN,GTEX-1OFPY-2326-SM-E8VNU,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,GTEX-1I1GP-2226-SM-CGQFK,,GTEX-XLM4-0011-R9A-SM-4AT45,GTEX-14BMV-3026-SM-5S2PQ,,,,,,,,,,GTEX-14PJ5-1926-SM-6LLIM,,GTEX-RNOR-1326-SM-48FDE,GTEX-1CB4E-1826-SM-7RHG8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,GTEX-1N2EF-0226-SM-EYYXB,,GTEX-1JN1M-0011-R9a-SM-EZ6MR,GTEX-1F75A-0011-R6b-SM-9QEHD,,,,,,,,,,GTEX-1F6IF-0426-SM-7PBZV,,GTEX-SE5C-1026-SM-4BRUG,GTEX-1POEN-0226-SM-EYYXE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,GTEX-18D9B-0526-SM-7LTAS,,GTEX-1H23P-0011-R4b-SM-CL54R,GTEX-1I1CD-0011-R10b-SM-CJI3W,,,,,,,,,,GTEX-1CAMS-0008-SM-EXURB,,GTEX-12WSL-1326-SM-5LZVW,GTEX-18A66-1726-SM-7LG5N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,GTEX-1C6VS-0526-SM-7DUEN,,GTEX-1CAV2-2726-SM-7IGNN,GTEX-1GZ2Q-0011-R3a-SM-A96RP,,,,,,,,,,GTEX-1HCUA-2026-SM-CGQEJ,,GTEX-1LSVX-2026-SM-E9TJD,GTEX-1EU9M-0326-SM-7RHGF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,GTEX-16MT9-0126-SM-7EPI8,,GTEX-13X6I-0011-R9b-SM-5PNZJ,GTEX-1H2FU-0011-R3b-SM-CKZP4,,,,,,,,,,GTEX-1B8KZ-0008-SM-EXOHR,,GTEX-17MFQ-0626-SM-793A7,GTEX-XGQ4-0926-SM-4AT4U,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,GTEX-1I19N-0126-SM-CYPSF,,GTEX-1HBPM-0011-R9b-SM-ARL7C,GTEX-1J1OQ-0011-R3b-SM-D4P2B,,,,,,,,,,GTEX-1117F-0626-SM-5N9CS,,GTEX-QDVJ-0826-SM-48U1S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,GTEX-13FHO-0226-SM-5IFGY,,GTEX-1HUB1-2926-SM-ACKXA,GTEX-1H1ZS-0011-R5b-SM-CL53L,,,,,,,,,,GTEX-ZTSS-0008-SM-4YCE8,,GTEX-1IL2V-2026-SM-ARZMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,GTEX-1HSGN-0226-SM-CGQFV,,GTEX-1HT8W-0011-R8b-SM-CM2SX,GTEX-1C6VS-3026-SM-79OLA,,,,,,,,,,GTEX-X88G-0226-SM-4GIE4,,GTEX-13D11-1826-SM-5J2NM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,GTEX-ZP4G-1426-SM-4WWCL,,GTEX-1IKOH-0011-R2a-SM-CMKHO,GTEX-1F48J-0011-R1a-SM-9QEIC,,,,,,,,,,GTEX-18465-1026-SM-7PC23,,GTEX-1LB8K-1426-SM-DHXJK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,GTEX-1A3MX-2626-SM-7PC24,,,GTEX-S7SE-0011-R1A-SM-2XCDE,,,,,,,,,,GTEX-XPVG-0226-SM-EVYAQ,,GTEX-18A67-2226-SM-7LT9Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,GTEX-1F5PL-0326-SM-7P8PQ,,,GTEX-ZVZQ-0011-R6b-SM-57WAY,,,,,,,,,,GTEX-SE5C-0426-SM-4BRUI,,GTEX-16NPV-1526-SM-7KUL6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,GTEX-1JMPY-0226-SM-CKZOK,,,GTEX-13X6K-0011-R4b-SM-5P9HO,,,,,,,,,,GTEX-RNOR-0426-SM-2TF4U,,GTEX-1122O-1426-SM-5H11R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,GTEX-1B932-2326-SM-79OL5,,,GTEX-1AX9I-0011-R5b-SM-793DI,,,,,,,,,,GTEX-WH7G-0008-SM-4LVNM,,GTEX-1CB4F-2026-SM-79OLU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,GTEX-1LG7Z-1726-SM-D3LA4,,,GTEX-12ZZX-2926-SM-5GCOQ,,,,,,,,,,GTEX-15SKB-0008-SM-EAZ36,,GTEX-WFG8-1126-SM-4LVN1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,GTEX-NPJ8-0126-SM-2YUNR,,,GTEX-11O72-0011-R5a-SM-DO922,,,,,,,,,,GTEX-13OVH-1126-SM-5K7YP,,GTEX-RWS6-0726-SM-47JXI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,GTEX-13FTY-2126-SM-5IFFB,,,GTEX-13SLX-0011-R5a-SM-5O9BV,,,,,,,,,,GTEX-11P82-0126-SM-5HL72,,GTEX-Z9EW-0326-SM-5CVM8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,GTEX-1O97I-0326-SM-EYYX7,,,GTEX-YFC4-0011-R10a-SM-4SOK5,,,,,,,,,,GTEX-111VG-0008-SM-5Q5BG,,GTEX-139T6-0826-SM-5J1O2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,GTEX-OXRK-0226-SM-3NB2G,,,GTEX-13FTY-0011-R1a-SM-5LZXE,,,,,,,,,,GTEX-O5YW-0008-SM-4E3IE,,GTEX-1HFI7-1626-SM-9WYTR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,GTEX-13VXU-0126-SM-5SI9F,,,GTEX-11DYG-0011-R5a-SM-DO928,,,,,,,,,,GTEX-1399S-2126-SM-5J2MH,,GTEX-1399U-1426-SM-5J1N8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,GTEX-1H1DG-0126-SM-9WYU2,,,GTEX-14JIY-0011-R5b-SM-62LE7,,,,,,,,,,GTEX-1GMR2-1126-SM-7RHI6,,GTEX-13X6H-1626-SM-5Q5CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,GTEX-1N2DV-1526-SM-DTXEP,,,GTEX-1H3O1-0011-R3a-SM-ACKVD,,,,,,,,,,GTEX-1LVAN-1426-SM-COH3X,,GTEX-1N2DV-0926-SM-E9TJT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,GTEX-N7MS-0011-R7a-SM-2HMKN,,,,,,,,,,GTEX-144GN-0326-SM-5O9AD,,GTEX-15SHU-1626-SM-6M46B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,GTEX-13JUV-0011-R6b-SM-5LZYG,,,,,,,,,,GTEX-VUSG-0526-SM-4KL22,,GTEX-14BIN-1526-SM-73KZ7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,GTEX-1F52S-3126-SM-7PC3M,,,,,,,,,,GTEX-1C6VQ-0226-SM-7P8S5,,GTEX-ZYFC-2226-SM-5NQ96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,GTEX-13O3O-0011-R6b-SM-5P9GY,,,,,,,,,,GTEX-1LGOU-1226-SM-D3L8L,,GTEX-1HR9M-2926-SM-ACKVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,GTEX-17JCI-0011-R10b-SM-718A2,,,,,,,,,,GTEX-1192W-0008-SM-5QGRE,,GTEX-13X6K-2226-SM-79OMI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,GTEX-1CB4G-0011-R3a-SM-CE6QQ,,,,,,,,,,GTEX-15EO6-0008-SM-E6CPJ,,GTEX-TMMY-1526-SM-4DXST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,GTEX-WFG8-0008-SM-4LVN6,,GTEX-1JJ6O-1626-SM-CM2RM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,GTEX-1JMQI-0226-SM-ARZN3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,GTEX-17MFQ-0008-SM-EAZBK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,GTEX-1399R-0008-SM-5ZZUF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,GTEX-17F96-0008-SM-EAZB6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,GTEX-14PJN-2226-SM-6872I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,GTEX-1PPH7-2726-SM-EVYB9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,GTEX-1GF9U-0008-SM-EAZCV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,GTEX-1F75I-1226-SM-9YFM4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,GTEX-PLZ5-1826-SM-3NB22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,GTEX-14C38-1226-SM-5S2UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,GTEX-13U4I-0926-SM-5LU5A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,GTEX-14C39-2626-SM-5S2QD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,GTEX-R53T-0826-SM-48FCP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,GTEX-1C6WA-0426-SM-7PC2C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,GTEX-1GZ4H-0826-SM-9OSXK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,GTEX-11EM3-0526-SM-5H12N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,GTEX-QXCU-0226-SM-2TC5W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,GTEX-1AYCT-0326-SM-73KVN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,GTEX-YECK-0226-SM-4W215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,GTEX-1KANC-0326-SM-D3LA7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,GTEX-11ZUS-0008-SM-5S2UO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,GTEX-1NUQO-0326-SM-DTXDK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,GTEX-11ZTS-0826-SM-5EQ49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,GTEX-WYVS-0008-SM-4ONDY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,GTEX-XMD1-0426-SM-EYYVJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,GTEX-1399Q-0008-SM-62LDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,GTEX-XPT6-2226-SM-4B66R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,GTEX-11WQK-0008-SM-5SI6T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,GTEX-OHPL-2026-SM-3TW8R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,GTEX-WHSB-0008-SM-4M1ZP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,GTEX-13FTW-2226-SM-5J1OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,GTEX-ZVP2-2226-SM-5GU6Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,GTEX-OHPN-0426-SM-E9TI6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,GTEX-1B97I-0008-SM-EXOHX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,GTEX-13N11-1126-SM-5KM41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,GTEX-1S5ZA-1126-SM-EVYBU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,GTEX-11ZTT-0008-SM-5S2TZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,GTEX-WOFL-0008-SM-4OOSZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,GTEX-T6MO-1526-SM-4DM57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,GTEX-QDVJ-0008-SM-48U2E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,GTEX-1ICLY-0526-SM-A9G36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,GTEX-ZDTS-0226-SM-5HL7Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
