,Topic 1
ENSG00000271614,4.553759406675508e-05
ENSG00000258725,7.32329729143722e-06
ENSG00000177694,1.3181935124586995e-05
ENSG00000261501,0.0
ENSG00000239910,0.0
ENSG00000263974,0.0
ENSG00000248559,1.7043310060072076e-06
ENSG00000279489,5.054406639690125e-05
ENSG00000135407,0.00012015533592350813
ENSG00000170165,1.1983577385988178e-06
ENSG00000213757,2.553833491813925e-05
ENSG00000275936,8.628175717911488e-06
ENSG00000249197,0.0
ENSG00000225738,0.0
ENSG00000216613,0.0
ENSG00000153574,0.0005251203610540019
ENSG00000267693,7.989051590658786e-08
ENSG00000270704,1.7975366078982266e-05
ENSG00000260912,0.00019735620446124087
ENSG00000138750,0.0005290616265053936
ENSG00000147654,0.0002928786313135511
ENSG00000222421,5.725486973305463e-06
ENSG00000278716,3.3287714961078274e-06
ENSG00000172057,0.0009219631837339927
ENSG00000163207,0.001001933590156487
ENSG00000132475,0.011324746931478518
ENSG00000215546,0.0
ENSG00000143001,4.021155967298255e-05
ENSG00000231660,2.6630171968862618e-08
ENSG00000258741,1.392757993971515e-05
ENSG00000186231,3.475237441936572e-05
ENSG00000224965,7.456448151281533e-06
ENSG00000151240,0.0004087731397220412
ENSG00000271519,0.0
ENSG00000226490,2.8494284006683e-06
ENSG00000273901,3.888005107453943e-06
ENSG00000111412,0.0002338928004025204
ENSG00000225205,3.829418729122444e-05
ENSG00000175779,2.6630171968862618e-08
ENSG00000073861,8.393830204585497e-05
ENSG00000251359,6.471131788433616e-06
ENSG00000073150,0.00020230941644744932
ENSG00000284391,9.320560189101917e-06
ENSG00000224326,0.0
ENSG00000279014,0.0
ENSG00000248184,3.1689904642946516e-06
ENSG00000260075,1.8641120378203832e-06
ENSG00000067445,0.0002706158075475819
ENSG00000236352,6.045049036931814e-06
ENSG00000128513,0.00018862150805545392
ENSG00000205946,0.0
ENSG00000100422,0.0007991980909575361
ENSG00000184588,0.00025700778967149314
ENSG00000100302,0.0004949483762132806
ENSG00000227922,2.6630171968862618e-08
ENSG00000154485,3.7282240756407664e-07
ENSG00000277969,7.87986788558645e-05
ENSG00000160161,1.1717275666299552e-05
ENSG00000276523,8.814586921693526e-05
ENSG00000177144,0.0
ENSG00000212933,1.2782482545054057e-06
ENSG00000279041,0.0002815341780548156
ENSG00000259620,0.0
ENSG00000201695,0.0
ENSG00000276696,3.754854247609629e-06
ENSG00000253669,4.47386889076892e-06
ENSG00000265939,3.754854247609629e-06
ENSG00000164323,0.0003383629650363684
ENSG00000244514,0.0
ENSG00000228930,1.0652068787545047e-07
ENSG00000244061,3.994525795329393e-07
ENSG00000233575,0.0
ENSG00000204991,0.0001022332301884636
ENSG00000031003,0.0004334859393091457
ENSG00000160117,2.6976364204457832e-05
ENSG00000248452,0.0
ENSG00000164736,0.0004087731397220412
ENSG00000213214,6.0610271401131316e-05
ENSG00000272990,0.0001565854111769122
ENSG00000227051,0.0004263756833934594
ENSG00000168303,0.00011626733081605419
ENSG00000266378,9.320560189101916e-07
ENSG00000275437,1.1690645494330689e-05
ENSG00000232287,3.3820318400455524e-06
ENSG00000230932,0.0
ENSG00000245552,6.1249395528384024e-06
ENSG00000159625,3.9146352794228045e-06
ENSG00000273888,6.09830938086954e-06
ENSG00000254112,2.1304137575090095e-07
ENSG00000267620,0.0
ENSG00000218475,7.989051590658786e-08
ENSG00000253379,0.0
ENSG00000204338,4.306098807365086e-05
ENSG00000262135,0.0
ENSG00000277013,5.091688880446533e-05
ENSG00000252778,0.0
ENSG00000147251,0.00041963824988533715
ENSG00000225146,2.6630171968862618e-08
ENSG00000276502,0.0
ENSG00000264037,0.0
ENSG00000272070,1.4433553207123538e-05
ENSG00000255257,0.0
ENSG00000226397,7.456448151281533e-07
ENSG00000166133,0.00015413543535577683
ENSG00000269786,0.0
ENSG00000240355,0.0
ENSG00000124006,0.0011171889744377246
ENSG00000259677,1.1450973946610926e-06
ENSG00000275488,7.989051590658786e-08
ENSG00000207077,0.0
ENSG00000169413,0.0005193948740806966
ENSG00000279010,5.08636284605276e-06
ENSG00000139797,2.396715477197636e-07
ENSG00000250962,0.0
ENSG00000185926,0.0
ENSG00000157216,0.0010645144942833143
ENSG00000227282,0.0
ENSG00000242094,0.0
ENSG00000232136,0.0
ENSG00000237214,4.713540438488683e-05
ENSG00000250494,0.0
ENSG00000266028,0.0002933047140650529
ENSG00000254670,3.86137493548508e-06
ENSG00000169914,0.00017235047298247885
ENSG00000130733,0.0007925671781372892
ENSG00000186190,0.0
ENSG00000241577,5.3260343937725237e-08
ENSG00000276592,0.0
ENSG00000251430,0.0
ENSG00000270937,0.0
ENSG00000254295,7.456448151281533e-07
ENSG00000236991,1.7842215219137955e-05
ENSG00000180999,1.706994023204094e-05
ENSG00000187486,0.0003400140356984379
ENSG00000182722,3.0358396044503385e-06
ENSG00000280327,3.2222508082323766e-06
ENSG00000249228,0.0
ENSG00000234072,0.00011898360835687817
ENSG00000226533,5.3260343937725237e-08
ENSG00000059691,0.00032182562824370476
ENSG00000239216,3.435292183983278e-06
ENSG00000260865,1.0652068787545047e-07
ENSG00000238898,0.0
ENSG00000155886,5.765432231258757e-05
ENSG00000110427,4.4712058735720336e-05
ENSG00000197858,0.0021668438327624136
ENSG00000259317,5.3260343937725237e-08
ENSG00000226063,3.1956206362635143e-06
ENSG00000123999,6.6681950610032e-05
ENSG00000253872,0.0
ENSG00000279498,0.0
ENSG00000118217,0.0004048318742706495
ENSG00000265932,0.0
ENSG00000136108,0.00016561303947435662
ENSG00000177098,0.00048309794968713675
ENSG00000220868,0.0
ENSG00000235034,1.038576706785642e-05
ENSG00000164306,0.0002196989187431166
ENSG00000225298,1.5978103181317572e-07
ENSG00000220748,0.0
ENSG00000249691,0.0
ENSG00000206972,2.6630171968862618e-08
ENSG00000236276,0.0
ENSG00000272129,2.3727483224256594e-05
ENSG00000258841,0.0
ENSG00000218561,2.6630171968862618e-08
ENSG00000067836,0.000970163794997634
ENSG00000146828,0.0007082560536838702
ENSG00000124222,0.001926985873838868
ENSG00000244113,2.6630171968862618e-08
ENSG00000099804,0.0020001655864093026
ENSG00000166546,8.175462794440823e-06
ENSG00000274568,0.0
ENSG00000260810,5.965158521025226e-06
ENSG00000218991,3.994525795329393e-07
ENSG00000265060,0.0
ENSG00000201920,1.5978103181317572e-07
ENSG00000253361,7.3765576353749455e-06
ENSG00000157680,3.981210709344961e-05
ENSG00000011009,0.0010844871232599613
ENSG00000271851,1.331508598443131e-05
ENSG00000135114,6.865258333572783e-05
ENSG00000267834,7.126234018867637e-05
ENSG00000232821,4.553759406675508e-06
ENSG00000275097,4.260827515018019e-07
ENSG00000004700,0.0005787801575712602
ENSG00000259848,1.8641120378203832e-07
ENSG00000251228,0.0
ENSG00000108830,0.0001982616303081822
ENSG00000146540,0.0011959077627776826
ENSG00000272056,2.1890001358405073e-05
ENSG00000261670,0.0
ENSG00000164010,0.00018726336928504193
ENSG00000270048,6.364611100558166e-06
ENSG00000251326,0.0
ENSG00000232158,5.3260343937725237e-08
ENSG00000142789,0.00011160705072150323
ENSG00000274818,5.7015198185334865e-05
ENSG00000272226,3.0890999483880635e-06
ENSG00000260691,0.0
ENSG00000065621,6.143580673216607e-05
ENSG00000064490,0.0009303516879041844
ENSG00000262477,0.0
ENSG00000226132,0.0
ENSG00000243633,0.0
ENSG00000248987,2.6630171968862618e-08
ENSG00000253931,4.393978374862332e-06
ENSG00000099910,0.0003388156779598391
ENSG00000223001,0.0
ENSG00000200448,2.6630171968862618e-08
ENSG00000091436,0.00113298066641526
ENSG00000231402,2.6630171968862618e-08
ENSG00000202125,1.6244404901006197e-06
ENSG00000254980,0.0
ENSG00000268043,0.0001321655434814652
ENSG00000178882,5.3952728408915664e-05
ENSG00000101574,0.000131419898666337
ENSG00000225479,0.0
ENSG00000151239,0.0006256758904084272
ENSG00000233616,0.0
ENSG00000261468,8.511002961248493e-05
ENSG00000258592,1.331508598443131e-07
ENSG00000102104,9.05425846941329e-07
ENSG00000270549,2.6630171968862618e-08
ENSG00000260990,3.1956206362635143e-07
ENSG00000172403,0.0036760555687537647
ENSG00000260808,4.047786139267118e-06
ENSG00000185345,8.385841152994838e-05
ENSG00000224138,7.866552799602018e-05
ENSG00000215966,0.0
ENSG00000137267,0.0011109308840250417
ENSG00000259591,7.989051590658786e-08
ENSG00000267890,2.074490396374398e-05
ENSG00000207611,7.190146431592907e-07
ENSG00000222686,0.0
ENSG00000249326,0.0
ENSG00000260460,3.941265451391667e-06
ENSG00000241874,0.0
ENSG00000259968,0.0
ENSG00000162174,0.0001457469311855851
ENSG00000245680,0.00011826459371371889
ENSG00000152492,0.0007436209220585198
ENSG00000200150,0.0
ENSG00000260314,0.0003074453353805189
ENSG00000169006,0.0001400480743842485
ENSG00000148358,0.0006128401475194354
ENSG00000203729,0.0
ENSG00000256637,0.0
ENSG00000186283,0.00041942520850958624
ENSG00000281955,1.8641120378203832e-07
ENSG00000223623,0.0
ENSG00000139977,0.0002085142465161943
ENSG00000249592,7.853237713617586e-05
ENSG00000254691,1.7575913499449328e-06
ENSG00000113205,1.259607134127202e-05
ENSG00000185621,9.134148985319878e-05
ENSG00000231811,2.27954272053464e-05
ENSG00000261293,0.0
ENSG00000070731,0.00022491843244901367
ENSG00000226764,0.0
ENSG00000050820,0.0006405887867109903
ENSG00000213752,0.0
ENSG00000280090,0.0
ENSG00000198270,9.786588198557012e-05
ENSG00000147804,0.00020768871118515957
ENSG00000241370,0.000812380026082123
ENSG00000251018,0.0
ENSG00000254194,0.0
ENSG00000279957,1.0652068787545047e-07
ENSG00000168487,0.0007645256070540769
ENSG00000244968,2.4766059931042235e-05
ENSG00000058085,0.0001549343405148427
ENSG00000215367,5.3260343937725237e-08
ENSG00000277161,0.00014521432774620787
ENSG00000234303,5.3260343937725237e-08
ENSG00000228159,0.0
ENSG00000234661,1.7842215219137955e-06
ENSG00000099715,9.05425846941329e-07
ENSG00000276393,5.3260343937725237e-08
ENSG00000213716,0.0
ENSG00000283317,2.0398711728148765e-05
ENSG00000214748,1.8641120378203832e-07
ENSG00000265871,7.989051590658786e-08
ENSG00000225522,2.6630171968862618e-08
ENSG00000274528,5.0597326740838975e-06
ENSG00000259571,2.1304137575090095e-07
ENSG00000268423,1.8641120378203832e-07
ENSG00000233203,1.8907422097892459e-06
ENSG00000091262,2.5485074574201524e-05
ENSG00000225378,3.1956206362635143e-07
ENSG00000216687,0.0
ENSG00000243989,0.0004150844904786616
ENSG00000152133,0.00018606501154644312
ENSG00000240980,0.0
ENSG00000270061,1.2968893748836095e-05
ENSG00000228658,0.0
ENSG00000110107,0.002132597431610456
ENSG00000036565,4.793430954395272e-07
ENSG00000271697,0.0
ENSG00000188185,0.00016276361107368833
ENSG00000181171,0.0
ENSG00000282793,0.0
ENSG00000221710,0.0
ENSG00000112992,0.0007189347526433841
ENSG00000272823,3.2382289114136944e-05
ENSG00000252091,2.6630171968862618e-08
ENSG00000253684,0.0
ENSG00000235094,0.0
ENSG00000249792,0.0
ENSG00000254747,0.0
ENSG00000185792,0.0
ENSG00000259671,5.858637833149776e-07
ENSG00000207081,2.6630171968862618e-08
ENSG00000124688,0.0003940999149671979
ENSG00000168904,9.962347333551505e-05
ENSG00000007516,0.00017629173843387053
ENSG00000240107,0.0
ENSG00000254714,0.0
ENSG00000199892,0.0
ENSG00000236403,1.0652068787545047e-07
ENSG00000204463,0.0026305283870842492
ENSG00000237000,0.0
ENSG00000234424,1.0652068787545047e-07
ENSG00000251419,0.0
ENSG00000177675,3.214261756641718e-05
ENSG00000165584,0.0
ENSG00000268858,0.00014681213806433963
ENSG00000284263,0.0
ENSG00000156469,0.00042299365155341385
ENSG00000222344,2.6630171968862618e-08
ENSG00000280208,1.0119465348167795e-06
ENSG00000253526,2.6630171968862618e-08
ENSG00000268287,1.6137884213130745e-05
ENSG00000243323,2.157043929477872e-06
ENSG00000252744,0.0
ENSG00000117054,0.0010520249436299178
ENSG00000274020,2.633724007720513e-05
ENSG00000215450,5.3260343937725237e-08
ENSG00000260273,6.364611100558166e-06
ENSG00000233674,0.0
ENSG00000172757,0.006044383282632593
ENSG00000177201,0.0
ENSG00000214297,6.124939552838403e-07
ENSG00000254975,2.6630171968862618e-08
ENSG00000160505,1.0652068787545047e-07
ENSG00000186862,3.8374077807131034e-05
ENSG00000282925,2.6630171968862618e-08
ENSG00000203972,0.0
ENSG00000115596,9.11817088213856e-05
ENSG00000211445,0.03584027020463769
ENSG00000212580,0.0
ENSG00000280739,1.8374818658515207e-06
ENSG00000201377,0.0
ENSG00000121900,0.0012608054918658007
ENSG00000274216,2.6630171968862618e-08
ENSG00000134884,0.0028292427303159024
ENSG00000229918,2.6630171968862618e-08
ENSG00000246582,1.7788954875200228e-05
ENSG00000107317,0.009804457043948119
ENSG00000224289,0.0
ENSG00000255976,0.0
ENSG00000224107,2.6630171968862618e-08
ENSG00000094916,0.000327977197968512
ENSG00000217130,2.2103042734155975e-05
ENSG00000124374,0.00028225319269797487
ENSG00000267544,2.396715477197636e-07
ENSG00000256232,2.6630171968862618e-08
ENSG00000146918,0.00010700003097089
ENSG00000136152,0.00034347595805439004
ENSG00000130332,0.0011666412037839025
ENSG00000157601,0.0007487605452485102
ENSG00000130338,0.00013647963134042092
ENSG00000241962,7.0836257437174565e-06
ENSG00000265281,0.0
ENSG00000196787,7.296667119468357e-06
ENSG00000124788,0.0002017501828361032
ENSG00000271583,0.0
ENSG00000280303,1.6830268684321174e-05
ENSG00000253336,0.0
ENSG00000207334,2.6630171968862618e-08
ENSG00000265393,5.3260343937725237e-08
ENSG00000206767,0.0
ENSG00000128652,3.366053736864235e-05
ENSG00000235071,0.0
ENSG00000272321,8.281983482316274e-06
ENSG00000278636,2.6630171968862618e-08
ENSG00000250215,3.994525795329393e-07
ENSG00000096080,0.0011499707161313944
ENSG00000164347,0.0003700794998512838
ENSG00000167261,0.0001712586359317555
ENSG00000133315,0.000958739451222992
ENSG00000280078,0.0
ENSG00000113302,2.929318916574888e-06
ENSG00000112139,0.0001329910788124999
ENSG00000186648,6.902540574329191e-05
ENSG00000254434,0.0
ENSG00000238047,0.0
ENSG00000231103,0.0
ENSG00000213182,0.0
ENSG00000272825,3.1183931375538125e-05
ENSG00000185002,1.0652068787545047e-07
ENSG00000242889,1.1983577385988178e-06
ENSG00000256004,2.6630171968862618e-08
ENSG00000229092,5.405924909679112e-06
ENSG00000226115,0.0
ENSG00000283288,1.0918370507233674e-06
ENSG00000214843,0.0
ENSG00000114013,0.00010846469042917745
ENSG00000258843,7.456448151281533e-07
ENSG00000229162,9.05425846941329e-07
ENSG00000229999,0.0
ENSG00000136986,0.0009292332206814922
ENSG00000224888,3.994525795329393e-06
ENSG00000186998,0.00019203017006746834
ENSG00000162493,0.0003849923961538469
ENSG00000222246,2.6630171968862618e-08
ENSG00000198053,0.001145789779132283
ENSG00000261375,5.3260343937725237e-08
ENSG00000215126,2.1810110842498486e-05
ENSG00000213226,0.0
ENSG00000245729,2.6630171968862618e-08
ENSG00000227770,5.3260343937725237e-08
ENSG00000265724,0.0
ENSG00000243782,0.0
ENSG00000267343,2.7002994376426696e-05
ENSG00000200156,1.4912896302563065e-06
ENSG00000140932,0.0003280038281404809
ENSG00000221363,2.6630171968862618e-08
ENSG00000228638,0.0002219092230165322
ENSG00000251459,3.7282240756407664e-07
ENSG00000227225,0.0
ENSG00000257846,0.0
ENSG00000234028,8.122202450503098e-06
ENSG00000143578,0.00019160408731596653
ENSG00000121769,0.009317817281389123
ENSG00000184602,0.0015005569301014708
ENSG00000277500,0.0
ENSG00000241744,0.0
ENSG00000253994,0.0
ENSG00000207116,5.3260343937725237e-08
ENSG00000261621,0.0
ENSG00000132321,0.00012090098073863628
ENSG00000213782,1.0439027411794146e-05
ENSG00000244657,2.3913894428038632e-05
ENSG00000186439,0.0011241128191496288
ENSG00000258712,5.3260343937725237e-08
ENSG00000226409,3.0438286560409972e-05
ENSG00000228981,2.388726425606977e-05
ENSG00000238755,2.023893069633559e-06
ENSG00000141570,3.8986571762414875e-05
ENSG00000280414,0.0
ENSG00000259513,4.793430954395272e-07
ENSG00000206959,2.6630171968862618e-08
ENSG00000115694,0.0014196278374880972
ENSG00000236985,0.0
ENSG00000259579,0.0
ENSG00000215589,7.989051590658786e-08
ENSG00000117625,0.0005581950346393293
ENSG00000198353,0.00013669267271617183
ENSG00000234706,0.0
ENSG00000233590,1.331508598443131e-07
ENSG00000232363,1.1717275666299551e-06
ENSG00000144908,0.00040259493982526507
ENSG00000270137,3.0890999483880635e-06
ENSG00000176198,0.0
ENSG00000251398,0.0
ENSG00000204648,0.0
ENSG00000004455,0.0010716513803709694
ENSG00000095110,7.539001684385007e-05
ENSG00000260568,0.0
ENSG00000248699,0.0
ENSG00000173068,8.518992012839152e-05
ENSG00000162419,0.00010247290173618335
ENSG00000166676,2.276879703337754e-05
ENSG00000247240,6.977105055842006e-05
ENSG00000240305,0.0
ENSG00000231514,0.0
ENSG00000237982,0.0
ENSG00000133313,0.000723222210330371
ENSG00000145779,0.00014201870710994435
ENSG00000268839,0.0
ENSG00000275578,0.0
ENSG00000127980,0.00033327660219031565
ENSG00000226363,1.504604716240738e-05
ENSG00000227361,0.0
ENSG00000248216,0.0
ENSG00000215644,7.669489527032434e-06
ENSG00000244565,0.0
ENSG00000197213,2.6630171968862618e-08
ENSG00000253257,0.0
ENSG00000164976,0.00034802971746106557
ENSG00000248457,0.0
ENSG00000148803,0.00019631762775445521
ENSG00000263372,0.0
ENSG00000280408,8.574915373973763e-06
ENSG00000242111,0.0
ENSG00000258982,2.8494284006683e-06
ENSG00000253021,0.0
ENSG00000234997,1.1850426526143865e-05
ENSG00000073169,0.0009588193417388985
ENSG00000237549,0.0
ENSG00000251412,0.0
ENSG00000237802,0.0
ENSG00000169047,0.00030273179494203026
ENSG00000175938,0.000540246298732316
ENSG00000241782,5.512445597554562e-06
ENSG00000249941,0.0
ENSG00000268199,8.787956749724664e-07
ENSG00000283768,0.0
ENSG00000133636,4.138328723961251e-05
ENSG00000232743,0.0
ENSG00000260858,0.0
ENSG00000197023,0.0
ENSG00000205846,8.521655030036038e-07
ENSG00000078814,0.00030297146648975
ENSG00000117862,0.0006902274272609502
ENSG00000225554,3.994525795329393e-05
ENSG00000170876,0.0026235246518564385
ENSG00000169750,0.00020262897851107566
ENSG00000215421,8.002366676643216e-05
ENSG00000249522,0.0
ENSG00000230682,0.0
ENSG00000276569,0.0
ENSG00000145642,3.7282240756407664e-07
ENSG00000276375,0.0
ENSG00000124571,0.0003772696462828767
ENSG00000136695,0.0001706195118045028
ENSG00000199609,1.0652068787545047e-07
ENSG00000077616,4.913266728255153e-05
ENSG00000259600,3.994525795329393e-07
ENSG00000270513,2.9026887446060254e-06
ENSG00000110717,0.0018774803841487523
ENSG00000185267,7.211450569167997e-05
ENSG00000163344,0.0015230594254151597
ENSG00000170606,0.0011042733410328261
ENSG00000238065,0.0
ENSG00000233158,0.0
ENSG00000224276,3.488552527921003e-06
ENSG00000228252,7.589599011125846e-06
ENSG00000280180,0.0
ENSG00000115368,0.000478011586841084
ENSG00000231383,0.0
ENSG00000163297,0.0006366475212595986
ENSG00000238551,0.0
ENSG00000162367,0.00013277803743674902
ENSG00000278340,5.3260343937725237e-08
ENSG00000259832,5.3260343937725237e-08
ENSG00000263618,2.6630171968862618e-08
ENSG00000254948,0.0
ENSG00000163959,5.8826049879217526e-05
ENSG00000268941,1.251618082536543e-06
ENSG00000269419,0.0
ENSG00000235608,0.0
ENSG00000253925,3.4619223559521404e-07
ENSG00000232905,0.0
ENSG00000244067,1.7842215219137955e-06
ENSG00000226014,0.0
ENSG00000159216,0.00015125937678313968
ENSG00000173809,2.1304137575090094e-06
ENSG00000227036,2.7748639191554848e-05
ENSG00000102055,7.989051590658786e-07
ENSG00000163393,0.0001199689247197261
ENSG00000221829,0.0002407900149424558
ENSG00000164933,0.00041050410090001725
ENSG00000222244,0.0
ENSG00000248568,4.527129234706645e-07
ENSG00000104112,0.00024164218044545938
ENSG00000252956,0.0
ENSG00000224690,2.4233456491664984e-06
ENSG00000249602,4.021155967298255e-05
ENSG00000261402,4.793430954395272e-07
ENSG00000166321,8.588230459958194e-05
ENSG00000276631,7.989051590658786e-08
ENSG00000087302,0.0008704071708022747
ENSG00000207257,0.0
ENSG00000199730,2.6630171968862618e-08
ENSG00000117906,0.00036653768697942507
ENSG00000253467,4.793430954395272e-07
ENSG00000253838,7.989051590658786e-07
ENSG00000239593,2.0771534135712844e-06
ENSG00000224059,0.0
ENSG00000277425,2.8494284006683e-06
ENSG00000276809,8.574915373973763e-06
ENSG00000279942,2.3967154771976356e-06
ENSG00000259124,3.5418128718587283e-06
ENSG00000232022,2.1490548778872133e-05
ENSG00000253782,2.6630171968862618e-08
ENSG00000237674,2.396715477197636e-07
ENSG00000272393,0.0
ENSG00000232738,0.0
ENSG00000244610,5.3260343937725237e-08
ENSG00000207098,0.0
ENSG00000223597,1.0652068787545047e-07
ENSG00000181924,0.0006548891890582696
ENSG00000267771,2.1304137575090095e-07
ENSG00000232337,0.0
ENSG00000266497,5.3260343937725237e-08
ENSG00000187758,1.8667750550172695e-05
ENSG00000249485,1.0652068787545047e-06
ENSG00000128973,0.0004340451729204918
