MEmidnightblue,MEred,MEgreen,MEblack,MEblue,MEsalmon,MEturquoise,MEcyan,MEbrown,MEtan,MEgreenyellow,MEpink,MEyellow,MEmagenta,MEpurple,MEgrey
,ENSG00000099968,,ENSG00000165066,ENSG00000270240,ENSG00000143248,ENSG00000283317,,ENSG00000258471,,,ENSG00000197226,ENSG00000231964,,,ENSG00000004455
,ENSG00000201279,,ENSG00000265254,ENSG00000170775,ENSG00000151491,ENSG00000243989,,ENSG00000278527,,,ENSG00000125304,ENSG00000238121,,,ENSG00000162419
,ENSG00000101413,,ENSG00000257159,ENSG00000084444,ENSG00000049323,ENSG00000152133,,ENSG00000149346,,,ENSG00000140750,ENSG00000064012,,,ENSG00000247240
,ENSG00000267507,,ENSG00000264791,ENSG00000281106,ENSG00000259523,ENSG00000270061,,ENSG00000271366,,,ENSG00000131148,ENSG00000130066,,,ENSG00000133313
,ENSG00000168575,,,ENSG00000140600,ENSG00000234509,ENSG00000110107,,ENSG00000253766,,,ENSG00000125944,ENSG00000211816,,,ENSG00000145779
,ENSG00000182606,,,ENSG00000231460,ENSG00000071967,ENSG00000188185,,ENSG00000146904,,,ENSG00000048991,ENSG00000100055,,,ENSG00000127980
,,,,ENSG00000136099,ENSG00000143554,ENSG00000124688,,ENSG00000279929,,,ENSG00000151576,ENSG00000128294,,,ENSG00000280408
,,,,ENSG00000260163,ENSG00000113971,ENSG00000168904,,ENSG00000227500,,,ENSG00000180611,ENSG00000012779,,,ENSG00000234997
,,,,ENSG00000198908,ENSG00000128487,ENSG00000204463,,ENSG00000170683,,,ENSG00000168538,ENSG00000146826,,,ENSG00000073169
,,,,ENSG00000235492,ENSG00000230630,ENSG00000268858,,ENSG00000256248,,,ENSG00000183291,ENSG00000262246,,,ENSG00000175938
,,,,ENSG00000182621,ENSG00000162687,ENSG00000156469,,ENSG00000171444,,,ENSG00000136933,ENSG00000130592,,,ENSG00000241782
,,,,ENSG00000249106,ENSG00000144677,ENSG00000243323,,ENSG00000214796,,,ENSG00000107937,ENSG00000076928,,,ENSG00000117862
,,,,ENSG00000134874,ENSG00000106804,ENSG00000211445,,ENSG00000135127,,,ENSG00000123600,ENSG00000227039,,,ENSG00000170876
,,,,ENSG00000006468,ENSG00000120158,ENSG00000280739,,ENSG00000126391,,,ENSG00000196597,ENSG00000253736,,,ENSG00000215421
,,,,ENSG00000275580,ENSG00000280132,ENSG00000121900,,ENSG00000227640,,,ENSG00000140307,ENSG00000131669,,,ENSG00000124571
,,,,ENSG00000237640,ENSG00000236296,ENSG00000134884,,ENSG00000090776,,,ENSG00000154814,ENSG00000180573,,,ENSG00000115368
,,,,ENSG00000259609,ENSG00000067900,ENSG00000094916,,ENSG00000183734,,,ENSG00000163877,ENSG00000153310,,,ENSG00000221829
,,,,ENSG00000174456,ENSG00000275454,ENSG00000217130,,ENSG00000263105,,,ENSG00000101040,ENSG00000174946,,,ENSG00000164933
,,,,ENSG00000184845,,ENSG00000146918,,ENSG00000278978,,,ENSG00000144554,ENSG00000124357,,,ENSG00000277425
,,,,ENSG00000255537,,ENSG00000136152,,ENSG00000232713,,,ENSG00000175387,ENSG00000211697,,,ENSG00000232022
,,,,ENSG00000175575,,ENSG00000130332,,ENSG00000223589,,,ENSG00000204519,ENSG00000137575,,,ENSG00000249485
,,,,ENSG00000281100,,ENSG00000130338,,ENSG00000277986,,,ENSG00000123737,ENSG00000235119,,,ENSG00000128973
,,,,ENSG00000167680,,ENSG00000241962,,ENSG00000236136,,,ENSG00000167491,ENSG00000180596,,,ENSG00000179523
,,,,ENSG00000196976,,ENSG00000124788,,ENSG00000105549,,,ENSG00000168894,ENSG00000225889,,,ENSG00000255857
,,,,ENSG00000169783,,ENSG00000280303,,ENSG00000171365,,,ENSG00000205544,ENSG00000173868,,,ENSG00000043514
,,,,ENSG00000203650,,ENSG00000128652,,ENSG00000187185,,,ENSG00000107929,ENSG00000166900,,,ENSG00000152348
,,,,ENSG00000174963,,ENSG00000164347,,ENSG00000204315,,,ENSG00000131876,ENSG00000163600,,,ENSG00000249180
,,,,ENSG00000259222,,ENSG00000136986,,ENSG00000203786,,,ENSG00000108439,ENSG00000188536,,,ENSG00000116580
,,,,ENSG00000148826,,ENSG00000224888,,ENSG00000005001,,,ENSG00000099942,ENSG00000211905,,,ENSG00000051009
,,,,ENSG00000258010,,ENSG00000215126,,ENSG00000189280,,,ENSG00000117586,ENSG00000096996,,,ENSG00000134255
,,,,ENSG00000265015,,ENSG00000267343,,ENSG00000234115,,,ENSG00000119777,ENSG00000240403,,,ENSG00000236383
,,,,ENSG00000227888,,ENSG00000228638,,ENSG00000163472,,,ENSG00000124549,ENSG00000159322,,,ENSG00000083750
,,,,ENSG00000170231,,ENSG00000234028,,ENSG00000233221,,,ENSG00000131467,ENSG00000166927,,,ENSG00000111962
,,,,ENSG00000236082,,ENSG00000143578,,ENSG00000233953,,,ENSG00000277194,ENSG00000160588,,,ENSG00000249264
,,,,ENSG00000070808,,ENSG00000213782,,ENSG00000186806,,,ENSG00000120659,ENSG00000172794,,,ENSG00000011143
,,,,ENSG00000113100,,ENSG00000244657,,ENSG00000232098,,,ENSG00000126767,ENSG00000101307,,,ENSG00000001617
,,,,ENSG00000232859,,ENSG00000141570,,ENSG00000268621,,,ENSG00000015532,ENSG00000185404,,,ENSG00000163867
,,,,ENSG00000187957,,ENSG00000115694,,ENSG00000214049,,,ENSG00000179562,ENSG00000133574,,,ENSG00000267731
,,,,ENSG00000099256,,ENSG00000117625,,ENSG00000176124,,,ENSG00000144320,ENSG00000258512,,,ENSG00000272720
,,,,ENSG00000185666,,ENSG00000004455,,ENSG00000167165,,,ENSG00000134049,ENSG00000125089,,,ENSG00000156398
,,,,ENSG00000268182,,ENSG00000173068,,ENSG00000160588,,,ENSG00000263528,ENSG00000128271,,,ENSG00000163354
,,,,ENSG00000234177,,ENSG00000162419,,ENSG00000204542,,,ENSG00000176101,,,,ENSG00000104375
,,,,ENSG00000204248,,ENSG00000247240,,ENSG00000064270,,,ENSG00000112640,,,,ENSG00000178222
,,,,ENSG00000105467,,ENSG00000133313,,ENSG00000234981,,,ENSG00000111737,,,,ENSG00000104205
,,,,ENSG00000176049,,ENSG00000145779,,ENSG00000008323,,,ENSG00000113712,,,,ENSG00000165121
,,,,ENSG00000272361,,ENSG00000127980,,ENSG00000153930,,,ENSG00000125877,,,,ENSG00000266993
,,,,ENSG00000167964,,ENSG00000148803,,ENSG00000244219,,,ENSG00000120509,,,,ENSG00000262692
,,,,ENSG00000144369,,ENSG00000073169,,ENSG00000228951,,,ENSG00000273899,,,,ENSG00000105722
,,,,ENSG00000278771,,ENSG00000169047,,ENSG00000233623,,,ENSG00000134283,,,,ENSG00000130818
,,,,ENSG00000159409,,ENSG00000175938,,ENSG00000122136,,,ENSG00000116161,,,,ENSG00000178202
,,,,ENSG00000103021,,ENSG00000241782,,ENSG00000234455,,,ENSG00000145996,,,,ENSG00000214176
,,,,ENSG00000278011,,ENSG00000117862,,ENSG00000255443,,,ENSG00000140025,,,,ENSG00000176148
,,,,ENSG00000092964,,ENSG00000170876,,ENSG00000159516,,,ENSG00000155561,,,,ENSG00000272807
,,,,ENSG00000139910,,ENSG00000169750,,,,,ENSG00000035115,,,,ENSG00000204604
,,,,ENSG00000269814,,ENSG00000215421,,,,,ENSG00000005156,,,,ENSG00000224014
,,,,ENSG00000077279,,ENSG00000124571,,,,,ENSG00000109270,,,,ENSG00000233885
,,,,ENSG00000163377,,ENSG00000163344,,,,,ENSG00000164975,,,,ENSG00000143303
,,,,ENSG00000203930,,ENSG00000170606,,,,,ENSG00000122565,,,,ENSG00000223374
,,,,ENSG00000026652,,ENSG00000115368,,,,,ENSG00000177951,,,,ENSG00000276772
,,,,ENSG00000149294,,ENSG00000163297,,,,,ENSG00000164091,,,,ENSG00000142937
,,,,ENSG00000102466,,ENSG00000221829,,,,,ENSG00000076650,,,,ENSG00000149636
,,,,ENSG00000264714,,ENSG00000164933,,,,,ENSG00000170482,,,,ENSG00000272601
,,,,ENSG00000020129,,ENSG00000166321,,,,,ENSG00000127124,,,,ENSG00000180008
,,,,ENSG00000129244,,ENSG00000087302,,,,,ENSG00000151503,,,,ENSG00000279491
,,,,ENSG00000119283,,ENSG00000117906,,,,,ENSG00000102531,,,,ENSG00000248979
,,,,ENSG00000272420,,ENSG00000277425,,,,,ENSG00000163006,,,,ENSG00000145348
,,,,ENSG00000230104,,ENSG00000181924,,,,,ENSG00000138134,,,,ENSG00000276103
,,,,ENSG00000151025,,ENSG00000249485,,,,,ENSG00000112159,,,,ENSG00000279233
,,,,ENSG00000239805,,ENSG00000128973,,,,,ENSG00000246089,,,,ENSG00000168944
,,,,ENSG00000259425,,ENSG00000179523,,,,,ENSG00000164180,,,,ENSG00000150977
,,,,ENSG00000083807,,ENSG00000255857,,,,,ENSG00000172890,,,,ENSG00000184743
,,,,ENSG00000160469,,ENSG00000043514,,,,,ENSG00000167699,,,,ENSG00000197054
,,,,ENSG00000175874,,ENSG00000197702,,,,,ENSG00000163902,,,,ENSG00000185187
,,,,ENSG00000185774,,ENSG00000102226,,,,,ENSG00000183850,,,,ENSG00000203780
,,,,ENSG00000279138,,ENSG00000152348,,,,,ENSG00000146872,,,,ENSG00000276728
,,,,ENSG00000105255,,ENSG00000116580,,,,,ENSG00000108064,,,,ENSG00000262663
,,,,ENSG00000078018,,ENSG00000255893,,,,,ENSG00000133119,,,,ENSG00000129315
,,,,ENSG00000159784,,ENSG00000116903,,,,,ENSG00000132286,,,,ENSG00000197226
,,,,ENSG00000198756,,ENSG00000051009,,,,,ENSG00000071994,,,,ENSG00000248734
,,,,ENSG00000269873,,ENSG00000134255,,,,,ENSG00000189308,,,,ENSG00000223547
,,,,ENSG00000125841,,ENSG00000236383,,,,,ENSG00000256294,,,,ENSG00000258727
,,,,ENSG00000232560,,ENSG00000083750,,,,,ENSG00000167395,,,,ENSG00000125304
,,,,ENSG00000163406,,ENSG00000111962,,,,,ENSG00000119599,,,,ENSG00000185829
,,,,ENSG00000215162,,ENSG00000249264,,,,,ENSG00000180185,,,,ENSG00000140750
,,,,ENSG00000262873,,ENSG00000011143,,,,,ENSG00000170522,,,,ENSG00000187824
,,,,ENSG00000152822,,ENSG00000001617,,,,,ENSG00000137656,,,,ENSG00000125944
,,,,ENSG00000083067,,ENSG00000163867,,,,,ENSG00000183010,,,,ENSG00000214455
,,,,ENSG00000235108,,ENSG00000135336,,,,,ENSG00000142444,,,,ENSG00000128159
,,,,ENSG00000231738,,ENSG00000130382,,,,,ENSG00000278527,,,,ENSG00000149541
,,,,ENSG00000279123,,ENSG00000267731,,,,,ENSG00000106263,,,,ENSG00000100201
,,,,ENSG00000145428,,ENSG00000272720,,,,,ENSG00000177084,,,,ENSG00000222448
,,,,ENSG00000157890,,ENSG00000156398,,,,,ENSG00000149346,,,,ENSG00000151576
,,,,ENSG00000108947,,ENSG00000163354,,,,,ENSG00000248243,,,,ENSG00000228653
,,,,ENSG00000166793,,ENSG00000155827,,,,,ENSG00000227500,,,,ENSG00000232901
,,,,ENSG00000231764,,ENSG00000104375,,,,,ENSG00000125651,,,,ENSG00000168538
,,,,ENSG00000165066,,ENSG00000158270,,,,,ENSG00000172869,,,,ENSG00000183291
,,,,ENSG00000137252,,ENSG00000178222,,,,,ENSG00000265415,,,,ENSG00000261056
,,,,ENSG00000257159,,ENSG00000104205,,,,,ENSG00000110696,,,,ENSG00000196597
,,,,ENSG00000225172,,ENSG00000165121,,,,,ENSG00000212232,,,,ENSG00000174788
,,,,ENSG00000274762,,ENSG00000266993,,,,,ENSG00000196367,,,,ENSG00000197822
,,,,ENSG00000264791,,ENSG00000262692,,,,,ENSG00000183431,,,,ENSG00000259232
,,,,,,ENSG00000105722,,,,,ENSG00000137309,,,,ENSG00000079432
,,,,,,ENSG00000185112,,,,,ENSG00000154165,,,,ENSG00000154814
,,,,,,ENSG00000260552,,,,,ENSG00000185246,,,,ENSG00000278921
,,,,,,ENSG00000260708,,,,,ENSG00000170248,,,,ENSG00000255423
,,,,,,ENSG00000147862,,,,,ENSG00000136824,,,,ENSG00000163877
,,,,,,ENSG00000130818,,,,,ENSG00000165819,,,,ENSG00000175387
,,,,,,ENSG00000107833,,,,,ENSG00000110104,,,,ENSG00000214078
,,,,,,ENSG00000178202,,,,,ENSG00000155506,,,,ENSG00000215915
,,,,,,ENSG00000214176,,,,,ENSG00000172171,,,,ENSG00000147421
,,,,,,ENSG00000176148,,,,,ENSG00000103043,,,,ENSG00000196312
,,,,,,ENSG00000272807,,,,,ENSG00000126391,,,,ENSG00000200779
,,,,,,ENSG00000071655,,,,,ENSG00000165417,,,,ENSG00000134644
,,,,,,ENSG00000204604,,,,,ENSG00000281649,,,,ENSG00000246067
,,,,,,ENSG00000224014,,,,,ENSG00000132436,,,,ENSG00000277245
,,,,,,ENSG00000233885,,,,,ENSG00000221164,,,,ENSG00000075275
,,,,,,ENSG00000143303,,,,,ENSG00000198918,,,,ENSG00000254433
,,,,,,ENSG00000223374,,,,,ENSG00000197275,,,,ENSG00000235513
,,,,,,ENSG00000144935,,,,,ENSG00000131019,,,,ENSG00000204519
,,,,,,ENSG00000133392,,,,,ENSG00000231305,,,,ENSG00000255026
,,,,,,ENSG00000276772,,,,,ENSG00000118939,,,,ENSG00000123737
,,,,,,ENSG00000176225,,,,,ENSG00000278619,,,,ENSG00000167491
,,,,,,ENSG00000142937,,,,,ENSG00000145216,,,,ENSG00000107929
,,,,,,ENSG00000149636,,,,,ENSG00000123136,,,,ENSG00000267002
,,,,,,ENSG00000272601,,,,,ENSG00000231074,,,,ENSG00000263586
,,,,,,ENSG00000111665,,,,,ENSG00000278986,,,,ENSG00000131876
,,,,,,ENSG00000273210,,,,,ENSG00000171940,,,,ENSG00000203497
,,,,,,ENSG00000180008,,,,,ENSG00000030110,,,,ENSG00000237836
,,,,,,ENSG00000173581,,,,,ENSG00000196460,,,,ENSG00000196562
,,,,,,ENSG00000145348,,,,,ENSG00000143476,,,,ENSG00000119777
,,,,,,ENSG00000279233,,,,,ENSG00000111845,,,,ENSG00000271964
,,,,,,ENSG00000248265,,,,,ENSG00000204315,,,,ENSG00000124549
,,,,,,ENSG00000168944,,,,,ENSG00000146670,,,,ENSG00000267119
,,,,,,ENSG00000184743,,,,,ENSG00000226784,,,,ENSG00000257964
,,,,,,ENSG00000280169,,,,,ENSG00000204628,,,,ENSG00000144362
,,,,,,ENSG00000225200,,,,,ENSG00000186222,,,,ENSG00000244226
,,,,,,ENSG00000197054,,,,,ENSG00000187522,,,,ENSG00000277194
,,,,,,ENSG00000248441,,,,,ENSG00000083845,,,,ENSG00000261879
,,,,,,ENSG00000259158,,,,,ENSG00000082126,,,,ENSG00000015532
,,,,,,ENSG00000203780,,,,,ENSG00000232098,,,,ENSG00000279432
,,,,,,ENSG00000276728,,,,,ENSG00000178074,,,,ENSG00000197363
,,,,,,ENSG00000262663,,,,,ENSG00000000419,,,,ENSG00000143367
,,,,,,ENSG00000053770,,,,,ENSG00000140694,,,,ENSG00000272502
,,,,,,ENSG00000274723,,,,,ENSG00000184635,,,,ENSG00000179562
,,,,,,ENSG00000153165,,,,,ENSG00000176124,,,,ENSG00000213398
,,,,,,ENSG00000204262,,,,,ENSG00000122958,,,,ENSG00000279382
,,,,,,ENSG00000129315,,,,,ENSG00000279114,,,,ENSG00000263528
,,,,,,ENSG00000273001,,,,,ENSG00000085449,,,,ENSG00000179044
,,,,,,ENSG00000197226,,,,,ENSG00000152147,,,,ENSG00000111737
,,,,,,ENSG00000224420,,,,,ENSG00000198492,,,,ENSG00000106344
,,,,,,ENSG00000139926,,,,,ENSG00000159322,,,,ENSG00000113712
,,,,,,ENSG00000248734,,,,,ENSG00000114779,,,,ENSG00000125877
,,,,,,ENSG00000223547,,,,,ENSG00000137804,,,,ENSG00000186166
,,,,,,ENSG00000258727,,,,,ENSG00000147996,,,,ENSG00000273899
,,,,,,ENSG00000182993,,,,,ENSG00000046651,,,,ENSG00000235481
,,,,,,ENSG00000142507,,,,,ENSG00000185624,,,,ENSG00000134283
,,,,,,ENSG00000092421,,,,,ENSG00000267201,,,,ENSG00000279672
,,,,,,ENSG00000166821,,,,,ENSG00000123352,,,,ENSG00000200091
,,,,,,ENSG00000139304,,,,,ENSG00000184995,,,,ENSG00000110429
,,,,,,ENSG00000125304,,,,,ENSG00000157426,,,,ENSG00000165591
,,,,,,ENSG00000185829,,,,,ENSG00000164190,,,,ENSG00000229759
,,,,,,ENSG00000140750,,,,,ENSG00000145388,,,,ENSG00000099904
,,,,,,ENSG00000273253,,,,,ENSG00000140262,,,,ENSG00000145996
,,,,,,ENSG00000131148,,,,,ENSG00000227598,,,,ENSG00000245970
,,,,,,ENSG00000187824,,,,,ENSG00000071082,,,,ENSG00000178078
,,,,,,ENSG00000125944,,,,,ENSG00000124333,,,,ENSG00000048707
,,,,,,ENSG00000214455,,,,,ENSG00000200087,,,,ENSG00000155561
,,,,,,ENSG00000128159,,,,,,,,,ENSG00000035115
,,,,,,ENSG00000149541,,,,,,,,,ENSG00000005156
,,,,,,ENSG00000100201,,,,,,,,,ENSG00000109270
,,,,,,ENSG00000179630,,,,,,,,,ENSG00000164975
,,,,,,ENSG00000222448,,,,,,,,,ENSG00000177951
,,,,,,ENSG00000048991,,,,,,,,,ENSG00000185013
,,,,,,ENSG00000151576,,,,,,,,,ENSG00000246174
,,,,,,ENSG00000102401,,,,,,,,,ENSG00000096093
,,,,,,ENSG00000070018,,,,,,,,,ENSG00000168310
,,,,,,ENSG00000228653,,,,,,,,,ENSG00000134453
,,,,,,ENSG00000180611,,,,,,,,,ENSG00000142330
,,,,,,ENSG00000232901,,,,,,,,,ENSG00000104915
,,,,,,ENSG00000168538,,,,,,,,,ENSG00000076650
,,,,,,ENSG00000183291,,,,,,,,,ENSG00000127124
,,,,,,ENSG00000261056,,,,,,,,,ENSG00000259767
,,,,,,ENSG00000136933,,,,,,,,,ENSG00000151503
,,,,,,ENSG00000107937,,,,,,,,,ENSG00000102531
,,,,,,ENSG00000123600,,,,,,,,,ENSG00000196074
,,,,,,ENSG00000196597,,,,,,,,,ENSG00000122390
,,,,,,ENSG00000267796,,,,,,,,,ENSG00000112159
,,,,,,ENSG00000140307,,,,,,,,,ENSG00000140995
,,,,,,ENSG00000248126,,,,,,,,,ENSG00000246089
,,,,,,ENSG00000079432,,,,,,,,,ENSG00000164180
,,,,,,ENSG00000154814,,,,,,,,,ENSG00000176978
,,,,,,ENSG00000128709,,,,,,,,,ENSG00000252355
,,,,,,ENSG00000104412,,,,,,,,,ENSG00000172890
,,,,,,ENSG00000278921,,,,,,,,,ENSG00000213145
,,,,,,ENSG00000255423,,,,,,,,,ENSG00000131400
,,,,,,ENSG00000163877,,,,,,,,,ENSG00000203644
,,,,,,ENSG00000101040,,,,,,,,,ENSG00000213073
,,,,,,ENSG00000175387,,,,,,,,,ENSG00000271204
,,,,,,ENSG00000177728,,,,,,,,,ENSG00000167699
,,,,,,ENSG00000168710,,,,,,,,,ENSG00000243650
,,,,,,ENSG00000214078,,,,,,,,,ENSG00000163902
,,,,,,ENSG00000215915,,,,,,,,,ENSG00000185024
,,,,,,ENSG00000147421,,,,,,,,,ENSG00000183833
,,,,,,ENSG00000196312,,,,,,,,,ENSG00000227370
,,,,,,ENSG00000103047,,,,,,,,,ENSG00000165923
,,,,,,ENSG00000182700,,,,,,,,,ENSG00000205209
,,,,,,ENSG00000200779,,,,,,,,,ENSG00000134575
,,,,,,ENSG00000198870,,,,,,,,,ENSG00000131748
,,,,,,ENSG00000181852,,,,,,,,,ENSG00000146872
,,,,,,ENSG00000134644,,,,,,,,,ENSG00000155508
,,,,,,ENSG00000267213,,,,,,,,,ENSG00000005206
,,,,,,ENSG00000246067,,,,,,,,,ENSG00000144567
,,,,,,ENSG00000113273,,,,,,,,,ENSG00000132286
,,,,,,ENSG00000277245,,,,,,,,,ENSG00000131378
,,,,,,ENSG00000254433,,,,,,,,,ENSG00000224975
,,,,,,ENSG00000235513,,,,,,,,,ENSG00000071994
,,,,,,ENSG00000204519,,,,,,,,,ENSG00000173846
,,,,,,ENSG00000123737,,,,,,,,,ENSG00000277324
