Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20
TNXB,PHLDA1,PTPRH,TUBA3D,,,,,,,,,,,,,,,,
RGS5,CKMT1A,NUAK2,STK32B,,,,,,,,,,,,,,,,
PROC,EHHADH,NAT2,PGLYRP4,,,,,,,,,,,,,,,,
MT1M,AHCYL2,RETN,PAGE2B,,,,,,,,,,,,,,,,
GJA1,RND1,TTPA,NEK10,,,,,,,,,,,,,,,,
FADS2,TMC5,PCSK9,SNTN,,,,,,,,,,,,,,,,
ALAS1,CHRDL2,PLEKHS1,NGB,,,,,,,,,,,,,,,,
ICAM1,ACSL4,ACY3,HIST1H2AM,,,,,,,,,,,,,,,,
FBLN5,MASP1,MTRNR2L9,CDSN,,,,,,,,,,,,,,,,
MSMO1,TRNP1,CFP,CHRNA1,,,,,,,,,,,,,,,,
TPPP3,FGL2,GDA,CTAG2,,,,,,,,,,,,,,,,
SBSN,SYT7,TRABD2A,TM4SF19,,,,,,,,,,,,,,,,
UBD,ACTA1,VIP,MAGEA6,,,,,,,,,,,,,,,,
BDH1,DERL3,ITGA8,ADCYAP1R1,,,,,,,,,,,,,,,,
ELN,PRODH2,SHBG,ACAN,,,,,,,,,,,,,,,,
HGD,CRLF1,AGMAT,NPPC,,,,,,,,,,,,,,,,
AOC3,TUBB3,MMP10,TAC3,,,,,,,,,,,,,,,,
FOLR1,EVA1A,FOXJ1,VWA5B2,,,,,,,,,,,,,,,,
DPYSL3,RRAD,ATG9B,ALOX15,,,,,,,,,,,,,,,,
ACY1,GUCA2B,C2orf82,ASCL1,,,,,,,,,,,,,,,,
APOL1,DPP4,LDB3,CYP2W1,,,,,,,,,,,,,,,,
ACP5,ACSM5,ANXA8L1,PAGE5,,,,,,,,,,,,,,,,
PHYH,TTC39A,PRSS1,MAGEA4,,,,,,,,,,,,,,,,
AKR1B1,TNFRSF6B,ELF5,TCP10L,,,,,,,,,,,,,,,,
BHMT,GCNT3,GBP5,BNC1,,,,,,,,,,,,,,,,
MARCO,IGF1,PLP1,GCK,,,,,,,,,,,,,,,,
PHGDH,TMEM79,TMPRSS3,CCL26,,,,,,,,,,,,,,,,
TNC,AMN,CLPS,KCNJ3,,,,,,,,,,,,,,,,
SVIL,CRABP1,EGFL6,RP11-343C2.9,,,,,,,,,,,,,,,,
FMO3,RORC,CDH2,C2CD4A,,,,,,,,,,,,,,,,
LMO7,TMEM100,STAC2,AMTN,,,,,,,,,,,,,,,,
UGT1A8,TMOD1,L1CAM,LDLRAD1,,,,,,,,,,,,,,,,
FMOD,ASRGL1,GPM6A,APOBEC2,,,,,,,,,,,,,,,,
IGLL5,PROM1,NEU4,CHRNA4,,,,,,,,,,,,,,,,
MTHFD1,WIF1,CWH43,ZBED2,,,,,,,,,,,,,,,,
PGM5,NTRK2,KLK14,NKX6-3,,,,,,,,,,,,,,,,
PKDCC,CTXN1,PNMAL1,FOXI1,,,,,,,,,,,,,,,,
PDLIM5,AKAP12,TMEM171,TPH1,,,,,,,,,,,,,,,,
HLA-DMB,SLC38A5,PLCH2,CSN1S1,,,,,,,,,,,,,,,,
COL12A1,WFDC1,RBM24,SRL,,,,,,,,,,,,,,,,
ST14,CYP3A7,NXPE1,RFPL2,,,,,,,,,,,,,,,,
SORBS2,CYP2S1,EPHX3,ERVMER34-1,,,,,,,,,,,,,,,,
MYL6B,SPOCK1,CCK,RNF223,,,,,,,,,,,,,,,,
CAV2,SEZ6L2,SLC28A1,HBG2,,,,,,,,,,,,,,,,
LYNX1,TTC36,CPNE4,FAM151A,,,,,,,,,,,,,,,,
HPGD,AIF1L,APOBR,ARC,,,,,,,,,,,,,,,,
SCARB1,MIA,NRXN2,AC025262.1,,,,,,,,,,,,,,,,
KHK,DUOXA1,TMEM92,C5orf46,,,,,,,,,,,,,,,,
SCNN1A,SH3BP1,HSPA6,C14orf180,,,,,,,,,,,,,,,,
COL5A1,TCEAL2,MUC17,CSAG1,,,,,,,,,,,,,,,,
LPCAT1,GFRA1,SLC6A12,REN,,,,,,,,,,,,,,,,
CXCL2,KLK1,C1orf194,DKK4,,,,,,,,,,,,,,,,
GJB1,BMP4,RTN4RL2,HIST1H2AD,,,,,,,,,,,,,,,,
FAH,LMO3,MORN5,KCNJ16,,,,,,,,,,,,,,,,
C8A,MUSTN1,RBFOX3,DUSP9,,,,,,,,,,,,,,,,
MALL,AMDHD1,SLC22A10,PCSK1,,,,,,,,,,,,,,,,
SMOC2,NDNF,ZMYND10,HIST1H2BF,,,,,,,,,,,,,,,,
PPL,CAPN14,GAL,KCNC2,,,,,,,,,,,,,,,,
EPS8L1,AQP7,ANXA13,INSM1,,,,,,,,,,,,,,,,
MTHFS,ALDH8A1,HK3,PLA2G2D,,,,,,,,,,,,,,,,
IRF1,CDKN2A,CCL13,HIST1H2AI,,,,,,,,,,,,,,,,
CYP3A5,MUC4,COX6A2,SPAG6,,,,,,,,,,,,,,,,
PKP1,REC8,VSTM2A,GRPR,,,,,,,,,,,,,,,,
OLFML3,CYP2J2,HOXB9,VGF,,,,,,,,,,,,,,,,
GADD45G,VSIG10L,CCL11,CTNNA2,,,,,,,,,,,,,,,,
MPZL2,KLK12,CFTR,ACVR1C,,,,,,,,,,,,,,,,
F3,ABCA8,RSAD2,PTPRN,,,,,,,,,,,,,,,,
SLC39A14,FAM134B,CERS3,CDH15,,,,,,,,,,,,,,,,
TFPI,COLEC12,TM6SF2,CILP2,,,,,,,,,,,,,,,,
PLAT,VAV3,BAI2,SLC28A2,,,,,,,,,,,,,,,,
TSKU,GHRL,HES2,ABCA4,,,,,,,,,,,,,,,,
CYP2D6,SLC17A9,PRSS21,GPR88,,,,,,,,,,,,,,,,
PLAC8,GNLY,CLPSL2,SLC9A4,,,,,,,,,,,,,,,,
PDLIM4,MMP9,POU2AF1,CT45A5,,,,,,,,,,,,,,,,
AKR1C4,STXBP6,SALL1,MATN4,,,,,,,,,,,,,,,,
MASP2,F13A1,RTKN2,AREGB,,,,,,,,,,,,,,,,
TRPM4,OLFML2B,HIST2H4B,WFDC12,,,,,,,,,,,,,,,,
SHMT1,PRKAR2B,CD5L,RAPSN,,,,,,,,,,,,,,,,
MFAP2,MYRF,VMO1,OFCC1,,,,,,,,,,,,,,,,
MT1A,VILL,LY6G6D,NKX6-2,,,,,,,,,,,,,,,,
LAD1,ANGPTL1,CYS1,ERBB4,,,,,,,,,,,,,,,,
FCN3,FOXF1,PDIA2,MYL7,,,,,,,,,,,,,,,,
C2orf40,CDK1,CXCL6,MYOM3,,,,,,,,,,,,,,,,
GGT1,HES6,KAL1,GPR15,,,,,,,,,,,,,,,,
SERPINA7,GGT6,GALNT15,S100A7A,,,,,,,,,,,,,,,,
ALDH1L1,FAM83E,ZDHHC11B,PSPN,,,,,,,,,,,,,,,,
PC,SEMG1,DAPP1,CDH16,,,,,,,,,,,,,,,,
ISYNA1,EPB41L4B,HRASLS5,GFAP,,,,,,,,,,,,,,,,
S100A1,CCDC64B,FAM65C,FAM155B,,,,,,,,,,,,,,,,
ALDH4A1,MET,RSPH1,LCE3E,,,,,,,,,,,,,,,,
C6,BHLHE41,SLC6A14,FAM25G,,,,,,,,,,,,,,,,
SULT1A1,NAT1,ASPHD1,ROPN1,,,,,,,,,,,,,,,,
PXMP2,F7,WNT7B,PLA2G4E,,,,,,,,,,,,,,,,
GPC3,AKR1D1,KRT81,SPINK8,,,,,,,,,,,,,,,,
SLC15A3,ITGB6,ENTPD8,WDR38,,,,,,,,,,,,,,,,
ACSM2A,SLC22A3,UNC5CL,LHX8,,,,,,,,,,,,,,,,
HMGB3,SLCO4A1,FREM1,LCN15,,,,,,,,,,,,,,,,
KLF5,PCSK1N,KRT24,TGM5,,,,,,,,,,,,,,,,
NDUFA4L2,PNCK,AK5,TRPM6,,,,,,,,,,,,,,,,
ANGPTL3,FAM46B,HEPACAM2,HAND1,,,,,,,,,,,,,,,,
FSCN1,PTGES,GPR110,HIST1H2BO,,,,,,,,,,,,,,,,
MUC21,BEX1,SLC13A3,ARHGAP36,,,,,,,,,,,,,,,,
HSD17B13,HIF3A,CA7,CRYBA2,,,,,,,,,,,,,,,,
SERPINE1,GHR,CYTL1,TCL1A,,,,,,,,,,,,,,,,
SNCG,SEMG2,RAD51AP1,NKX2-5,,,,,,,,,,,,,,,,
PLGLB2,GSTM5,XPNPEP2,XXbac-BPG181M17.5,,,,,,,,,,,,,,,,
HSPB7,MYZAP,ESPL1,FBP2,,,,,,,,,,,,,,,,
UGDH,KLK7,SIX2,C1orf110,,,,,,,,,,,,,,,,
CREB3L3,MMP19,WNT2,HIST1H3G,,,,,,,,,,,,,,,,
ACSL5,KCNQ1,NKD1,CALCB,,,,,,,,,,,,,,,,
PTN,PAMR1,CNDP1,SCG3,,,,,,,,,,,,,,,,
PON3,BTNL9,CARD18,AC018867.2,,,,,,,,,,,,,,,,
IL6ST,ACMSD,KCNQ2,KPRP,,,,,,,,,,,,,,,,
MMP11,CD38,CCDC74B,RP11-685N3.1,,,,,,,,,,,,,,,,
CX3CL1,CAPN6,LRRN1,ATP1A4,,,,,,,,,,,,,,,,
FUOM,PVRL4,FGFBP2,HOXC13,,,,,,,,,,,,,,,,
DGAT2,NPR1,ANKRD1,FCRLB,,,,,,,,,,,,,,,,
EFHD1,ECM2,CCL23,DEFB4B,,,,,,,,,,,,,,,,
PPP1R1A,GNA15,HOXB8,C3orf72,,,,,,,,,,,,,,,,
BHMT2,VSIG1,CCL4L1,MYBPHL,,,,,,,,,,,,,,,,
GGH,CILP,C11orf53,DEFB103A,,,,,,,,,,,,,,,,
AMACR,MX2,HOXC10,CELA3B,,,,,,,,,,,,,,,,
CDO1,MYH3,RP11-598P20.5,PAPPA2,,,,,,,,,,,,,,,,
KLK13,CIDEA,TMEM82,TMEM236,,,,,,,,,,,,,,,,
SCEL,PADI2,TMEM200A,ABCA12,,,,,,,,,,,,,,,,
FLNC,AURKB,ATP6V1B1,MUC19,,,,,,,,,,,,,,,,
UPK3BL,VSTM2L,ITLN2,EMR1,,,,,,,,,,,,,,,,
F5,GCGR,TNFRSF11B,GAL3ST3,,,,,,,,,,,,,,,,
QPRT,DUSP4,GSDMC,PLA2G4D,,,,,,,,,,,,,,,,
VWF,TNNI1,GABRA3,MAGEA2,,,,,,,,,,,,,,,,
MEST,EDNRB,LMAN1L,C1orf177,,,,,,,,,,,,,,,,
SERPINA10,NNAT,GABRQ,IGF2BP1,,,,,,,,,,,,,,,,
FOXA1,KIT,OXER1,GLRA3,,,,,,,,,,,,,,,,
BAAT,TPRG1,KIF1A,USH1G,,,,,,,,,,,,,,,,
CAPS,ANKRD29,SLC4A11,TNIP3,,,,,,,,,,,,,,,,
ANO1,GALNT6,SCXA,FAM25C,,,,,,,,,,,,,,,,
HAAO,JPH2,IGSF10,NMRK2,,,,,,,,,,,,,,,,
ACOX2,GSTT2,CELA2A,DUSP13,,,,,,,,,,,,,,,,
PEG10,SOX15,CCL24,CLC,,,,,,,,,,,,,,,,
TGM1,AQP5,SHD,CLPSL1,,,,,,,,,,,,,,,,
CXCL1,AL022328.1,DEFA6,FAM92B,,,,,,,,,,,,,,,,
SEC14L2,SDR16C5,UGT3A1,MAGEC2,,,,,,,,,,,,,,,,
CBS,C5orf38,C8orf47,CATSPERD,,,,,,,,,,,,,,,,
ALOX5AP,MB,PRPH,ASIC2,,,,,,,,,,,,,,,,
LEAP2,ETV4,KCNK3,TMEM189-UBE2V1,,,,,,,,,,,,,,,,
RBP5,ATP1A2,TMEM108,ATP13A5,,,,,,,,,,,,,,,,
BPIFB1,APLP1,SMIM6,NPY5R,,,,,,,,,,,,,,,,
ENPP2,GYG2,SLC22A18AS,KRTAP3-2,,,,,,,,,,,,,,,,
GLYCTK,SLC1A1,C2CD4B,KHDC1L,,,,,,,,,,,,,,,,
CXCR4,FUT2,FAM183A,CRISP2,,,,,,,,,,,,,,,,
CEACAM1,CDCA7,NRG1,MTRNR2L2,,,,,,,,,,,,,,,,
LCAT,INHBB,SATB2,MYOZ2,,,,,,,,,,,,,,,,
PPP1R12B,CLMP,CCRL2,NKX2-2,,,,,,,,,,,,,,,,
UBE2C,CACNA2D2,NXPH4,PRL,,,,,,,,,,,,,,,,
CYP2B6,NGFR,LRRN4,TMEM213,,,,,,,,,,,,,,,,
SULF1,KCNH2,DPP6,CD1A,,,,,,,,,,,,,,,,
SLC22A18,CST6,HIST1H3H,UPK2,,,,,,,,,,,,,,,,
APCDD1,ERG,IL1RL1,INSL5,,,,,,,,,,,,,,,,
CIDEB,FOXF2,CHRM1,HIST2H3C,,,,,,,,,,,,,,,,
ACADS,CXCL3,OIT3,PNLDC1,,,,,,,,,,,,,,,,
TMEM101,TCN1,BHLHA15,CELF3,,,,,,,,,,,,,,,,
KLF2,KIF12,TMEM163,TMEM151A,,,,,,,,,,,,,,,,
PHYHD1,CLIC6,RASGRF1,MAGEA1,,,,,,,,,,,,,,,,
ERO1L,ADH7,CLSTN2,ALPP,,,,,,,,,,,,,,,,
ITM2A,POPDC2,HRASLS2,ALOX12B,,,,,,,,,,,,,,,,
HMOX1,PLA1A,SMPX,PYDC1,,,,,,,,,,,,,,,,
MFSD2A,LGALS2,LGR5,DLL3,,,,,,,,,,,,,,,,
RGN,COL10A1,CTTNBP2,MAGEB2,,,,,,,,,,,,,,,,
DGKA,SAMD11,AMY1C,PAGE1,,,,,,,,,,,,,,,,
PRUNE2,FOXQ1,LGI3,SYT4,,,,,,,,,,,,,,,,
GRB7,SELP,RSPO1,DUSP27,,,,,,,,,,,,,,,,
CD163,CHGB,SCG2,DLX2,,,,,,,,,,,,,,,,
HSD11B2,AFP,ALOX12,ZFP57,,,,,,,,,,,,,,,,
PODN,CRTAC1,TMED6,CTAG1B,,,,,,,,,,,,,,,,
GSTZ1,TRPS1,UPK1B,SYNGR4,,,,,,,,,,,,,,,,
GBP1,IFI44L,SRPK3,FAM19A4,,,,,,,,,,,,,,,,
ABCC3,MYO7B,CHST13,MAEL,,,,,,,,,,,,,,,,
GMFG,FAM101A,ENDOU,TKTL1,,,,,,,,,,,,,,,,
ITGB2,GNG4,MT3,IL37,,,,,,,,,,,,,,,,
SERPINA4,TREM2,CLEC4E,UNC45B,,,,,,,,,,,,,,,,
RASD1,INHBE,MRC1,DNAI2,,,,,,,,,,,,,,,,
MLXIPL,NSG1,NUDT10,PTPRQ,,,,,,,,,,,,,,,,
PFKFB3,MEP1A,GDF10,ATP12A,,,,,,,,,,,,,,,,
AREG,CNTFR,GLYATL2,SLC30A8,,,,,,,,,,,,,,,,
STEAP4,CPA1,HCAR3,SPINK13,,,,,,,,,,,,,,,,
COL7A1,INHBC,IL17B,WFIKKN2,,,,,,,,,,,,,,,,
PIK3R1,SKAP1,HTR2B,GRIN3A,,,,,,,,,,,,,,,,
SPP2,DUOX2,CCL25,ARSF,,,,,,,,,,,,,,,,
ESAM,LIPH,EFNB3,SLC45A2,,,,,,,,,,,,,,,,
NEDD4L,BMP7,ABCC8,SLC10A4,,,,,,,,,,,,,,,,
CD53,IL1R2,LTB4R2,FAM19A3,,,,,,,,,,,,,,,,
FCGR3A,TMPRSS11D,TMEM190,TDRD12,,,,,,,,,,,,,,,,
NCCRP1,TWIST1,CLEC4M,DNAH8,,,,,,,,,,,,,,,,
ANGPTL4,IRX2,OMG,VCX,,,,,,,,,,,,,,,,
LECT2,CDH13,LRRTM1,IBSP,,,,,,,,,,,,,,,,
CTD-2228K2.5,ADTRP,NPW,CA6,,,,,,,,,,,,,,,,
UPP1,KCNIP2,ODAM,SEZ6L,,,,,,,,,,,,,,,,
CLDN5,SLC25A18,SCGN,MYLK2,,,,,,,,,,,,,,,,
PLAUR,KCTD14,LAMP5,CTRC,,,,,,,,,,,,,,,,
THBS4,ACSS3,CHST5,DAW1,,,,,,,,,,,,,,,,
ITGA7,MYEOV,VGLL1,CCDC33,,,,,,,,,,,,,,,,
ALDOC,TRPV6,COLEC10,TRDN,,,,,,,,,,,,,,,,
ISG20,CASQ2,BEST2,PNMA5,,,,,,,,,,,,,,,,
SPEG,SEMA3G,AARD,DMRT3,,,,,,,,,,,,,,,,
SDPR,ADAM28,CYP17A1,ZNF541,,,,,,,,,,,,,,,,
PIPOX,ENPP5,SPINK2,SLC5A8,,,,,,,,,,,,,,,,
GPT2,CRMP1,B3GNT6,REG3G,,,,,,,,,,,,,,,,
LRRC32,DIO2,CD300LF,VCX3A,,,,,,,,,,,,,,,,
OGN,AFF3,SLC6A4,GDAP1L1,,,,,,,,,,,,,,,,
GEM,TCEAL7,HEPN1,KRT79,,,,,,,,,,,,,,,,
MRGPRF,DOK2,OR51E1,LIX1,,,,,,,,,,,,,,,,
AHNAK2,SERPINI1,SLC39A2,PTCHD2,,,,,,,,,,,,,,,,
VSIG4,TIMP4,SIRPB1,FOXG1,,,,,,,,,,,,,,,,
COL5A2,SLC25A15,HIST2H2AC,SLC18A1,,,,,,,,,,,,,,,,
ABI3BP,TNFAIP8L3,CLEC1B,GRIK1,,,,,,,,,,,,,,,,
SUSD2,HAS3,RNF186,VSIG8,,,,,,,,,,,,,,,,
ALPL,NOTUM,EPGN,SLC6A3,,,,,,,,,,,,,,,,
FBLN2,CLEC7A,IL1A,PRSS56,,,,,,,,,,,,,,,,
ADM,UGT2B11,NPTX1,FUT9,,,,,,,,,,,,,,,,
NTN4,PRIMA1,ROS1,AL158147.2,,,,,,,,,,,,,,,,
FBN1,RTN1,RET,PPP1R27,,,,,,,,,,,,,,,,
C5,EGR3,HSPB3,GABRG2,,,,,,,,,,,,,,,,
SLC38A4,ANKRD22,ULBP2,DDN,,,,,,,,,,,,,,,,
LAMA3,EGR2,HCAR1,KRT40,,,,,,,,,,,,,,,,
CCL19,FNDC5,CXCR6,IAPP,,,,,,,,,,,,,,,,
PROS1,MYL4,SLC15A1,AVP,,,,,,,,,,,,,,,,
CD248,BMPR1B,CLDN14,HUS1B,,,,,,,,,,,,,,,,
SLC39A8,SLC14A1,TUBB4A,OBP2A,,,,,,,,,,,,,,,,
HTRA3,HCAR2,HIST1H2BH,SLC1A6,,,,,,,,,,,,,,,,
FMO5,SLC30A4,AC018816.3,HIST1H3F,,,,,,,,,,,,,,,,
NEDD9,SLC19A3,ZNF812,NXPH1,,,,,,,,,,,,,,,,
PSAT1,CEL,PNMT,DEFA1B,,,,,,,,,,,,,,,,
MARC2,CARTPT,COL4A3,LCN1,,,,,,,,,,,,,,,,
MZB1,MAPT,CD164L2,HBE1,,,,,,,,,,,,,,,,
CASP1,FAM150B,CPA4,BRDT,,,,,,,,,,,,,,,,
PTTG1,TMEM86B,LY6G6C,NHLH2,,,,,,,,,,,,,,,,
ABAT,SYT8,SULT1E1,CHRNA9,,,,,,,,,,,,,,,,
HSD17B2,SULT1C2,LY6H,C22orf24,,,,,,,,,,,,,,,,
TMEM45B,CLDN8,TMEM154,IL36B,,,,,,,,,,,,,,,,
SH3BP5,HOOK1,HMGA2,RHAG,,,,,,,,,,,,,,,,
ALDH6A1,MKI67,FAM167A,C20orf166,,,,,,,,,,,,,,,,
SDCBP2,CD300LG,PDZD3,SSX2B,,,,,,,,,,,,,,,,
RAC2,SPRR2B,TDRD10,PEX5L,,,,,,,,,,,,,,,,
ACSM3,SOX7,CELA3A,FSTL5,,,,,,,,,,,,,,,,
LPP,DTX1,GLB1L3,NR0B1,,,,,,,,,,,,,,,,
FABP3,ABCC2,MYH7,PAPL,,,,,,,,,,,,,,,,
RAB11FIP1,POF1B,TMEM132C,LOR,,,,,,,,,,,,,,,,
RBP7,GLDC,BEST4,IGFL3,,,,,,,,,,,,,,,,
PLAU,SLC2A5,CPLX2,CYP4F31P,,,,,,,,,,,,,,,,
EVA1C,SLC29A4,SPAG17,NRAP,,,,,,,,,,,,,,,,
ENTPD5,GRPEL2,TRH,PNLIPRP3,,,,,,,,,,,,,,,,
MSRB3,FCN1,FZD10,ATP2B3,,,,,,,,,,,,,,,,
STEAP1,CAPN13,ICAM4,C8orf22,,,,,,,,,,,,,,,,
PRSS27,MFSD4,GTSF1,H2AFB2,,,,,,,,,,,,,,,,
SLC2A3,PPM1H,CHST4,MLNR,,,,,,,,,,,,,,,,
SLC27A2,MMP3,NRIP3,PIWIL1,,,,,,,,,,,,,,,,
NADK2,WNT4,FBN2,ACTL6B,,,,,,,,,,,,,,,,
GLA,TCF21,CXCR2,RPL3L,,,,,,,,,,,,,,,,
ACADSB,KIAA1467,NAT8L,LRRC38,,,,,,,,,,,,,,,,
RAMP3,SLC15A2,SYCN,LMX1A,,,,,,,,,,,,,,,,
VCAN,UGT2A3,LPA,ASB11,,,,,,,,,,,,,,,,
CD37,ADAMTS8,CST2,SYNPR,,,,,,,,,,,,,,,,
HIST2H2BE,GPIHBP1,B3GALT5,MAGEA8,,,,,,,,,,,,,,,,
F10,LRRC17,PZP,TCF24,,,,,,,,,,,,,,,,
CCL5,AGPAT9,IGSF23,BTN1A1,,,,,,,,,,,,,,,,
OSR2,COCH,COL9A1,CACNA1S,,,,,,,,,,,,,,,,
ADAMTSL4,TBC1D10C,ANGPTL6,SSX2,,,,,,,,,,,,,,,,
SMAGP,C9orf24,PPBP,HTR1E,,,,,,,,,,,,,,,,
TOP2A,KMO,LRRC36,SPANXB1,,,,,,,,,,,,,,,,
PLN,CSDC2,ATP2B2,NR5A1,,,,,,,,,,,,,,,,
CST1,FZD8,PHACTR3,ZPLD1,,,,,,,,,,,,,,,,
MME,CTSG,SLC17A3,ST8SIA3,,,,,,,,,,,,,,,,
IL2RG,NR4A3,COL11A2,SLC38A8,,,,,,,,,,,,,,,,
INMT,AIFM3,SLAMF6,PPY,,,,,,,,,,,,,,,,
IL33,RNF212,RLN2,MYH2,,,,,,,,,,,,,,,,
ADH6,SCG5,PCSK2,ERVW-1,,,,,,,,,,,,,,,,
RARRES1,HIST2H2BF,RNASE7,MARCH4,,,,,,,,,,,,,,,,
AKAP2,HGF,GPR115,GOLGA6L9,,,,,,,,,,,,,,,,
